congress,chamber,rollnumber,date,session,clerk_rollnumber,yea_count,nay_count,nominate_mid_1,nominate_mid_2,nominate_spread_1,nominate_spread_2,nominate_log_likelihood,bill_number,vote_result,vote_desc,vote_question,dtl_desc
116,House,1,03/01/2019,1,2,220,210,-0.107,0.471,0.706,-0.198,-28.71,,Pelosi,,Election of the Speaker,
116,House,2,03/01/2019,1,3,230,197,0.068,0.046,0.714,-0.082,-0.36,HRES5,Passed,"Providing for consideration of H.Res. 6, adopting the Rules of the House of Representatives for the 116th Congress; providing for consideration of H.R. 21, making appropriations for the FY ending September 30, 2019, and for other purposes",On Motion to Table the Motion to Refer,
116,House,3,03/01/2019,1,4,233,197,0.068,0.046,0.714,-0.082,-0.36,HRES5,Passed,"Providing for consideration of H.Res. 6, adopting the Rules of the House of Representatives for the 116th Congress; H.R. 21, making appropriations for the FY ending September 30, 2019; H.J.Res. 1, making further continuing appropriations for the Department of Homeland Security for FY 2019, and for other purposes",On Ordering the Previous Question,
116,House,4,03/01/2019,1,5,197,232,0.067,0.038,-0.714,0.074,-0.355,HRES5,Failed,"Providing for consideration of H.Res. 6, adopting the Rules of the House of Representatives for the 116th Congress; H.R. 21, making appropriations for the FY ending September 30, 2019; H.J.Res. 1, making further continuing appropriations for the Department of Homeland Security for FY 2019, and for other purposes",On Motion to Commit with Instructions,
116,House,5,03/01/2019,1,6,234,194,0.068,0.046,0.714,-0.082,-0.36,HRES5,Passed,"Providing for consideration of H.Res. 6, adopting the Rules of the House of Representatives for the 116th Congress; H.R. 21, making appropriations for the FY ending September 30, 2019; H.J.Res. 1, making further continuing appropriations for the Department of Homeland Security for FY 2019, and for other purposes",On Agreeing to the Resolution,
116,House,6,03/01/2019,1,7,234,197,0.191,0.982,0.341,-0.195,-22.412,HRES6,Passed,"Adopting the Rules of the House of Representatives for the One Hundred Sixteenth Congress, and for other purposes",On Agreeing to Title I of the Resolution,
116,House,7,03/01/2019,1,8,197,233,0.068,0.046,-0.714,0.082,-0.36,HJRES1,Failed,"Making further continuing appropriations for the Department of Homeland Security for fiscal year 2019, and for other purposes",On Motion to Recommit with Instructions,
116,House,8,03/01/2019,1,9,239,192,0.219,-0.062,0.677,0.502,-7.335,HJRES1,Passed,"Making further continuing appropriations for the Department of Homeland Security for fiscal year 2019, and for other purposes",On Passage,
116,House,9,03/01/2019,1,10,199,232,0.14,-0.979,-0.665,-0.408,-8.66,HR21,Failed,"Making appropriations for the fiscal year ending September 30, 2019, and for other purposes",On Motion to Recommit with Instructions,
116,House,10,03/01/2019,1,11,241,190,0.209,0.1,0.682,0.87,-13.247,HR21,Passed,"Making appropriations for the fiscal year ending September 30, 2019, and for other purposes",On Passage,
