congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2
116,House,20301,41,3,AL,200,,,"ROGERS, Mike Dennis",R000575,1958,,0.352,0.457,-133.18754,0.74908,461,56,,0.538,0.342
116,House,21102,41,7,AL,100,,,"SEWELL, Terri",S001185,1965,,-0.39,0.401,-22.1337,0.95503,481,9,,-0.408,0.356
116,House,21192,41,2,AL,200,,,"ROBY, Martha",R000591,1976,,0.361,0.658,-75.92635,0.84905,464,26,,0.333,0.708
116,House,21193,41,5,AL,200,,,"BROOKS, Mo",B001274,1954,,0.644,-0.455,-102.63823,0.80676,478,39,,0.784,-0.426
116,House,21376,41,1,AL,200,,,"BYRNE, Bradley",B001289,1955,,0.606,0.249,-90.22778,0.826,472,33,,0.709,0.127
116,House,21500,41,6,AL,200,,,"PALMER, Gary James",P000609,1954,,0.717,-0.049,-77.28439,0.85185,482,33,,0.669,0.114
116,House,29701,41,4,AL,200,,,"ADERHOLT, Robert",A000055,1965,,0.365,0.596,-82.92484,0.83981,475,30,,0.406,0.914
116,House,14066,81,1,AK,200,,,"YOUNG, Donald Edwin",Y000033,1933,,0.284,0.023,-140.39687,0.73891,464,48,,0.359,0.162
116,House,20305,61,3,AZ,100,,,"GRIJALVA, Raúl M.",G000551,1948,,-0.599,-0.249,-10.76503,0.97707,464,6,,-0.644,-0.461
116,House,20902,61,2,AZ,100,,,"KIRKPATRICK, Ann",K000368,1950,,-0.161,-0.007,-35.88117,0.92385,453,17,,-0.37,0.482
116,House,21103,61,4,AZ,200,,,"GOSAR, Paul",G000565,1958,,0.67,-0.405,-91.4494,0.82454,474,37,,0.919,-0.395
116,House,21105,61,6,AZ,200,,,"SCHWEIKERT, David",S001183,1962,,0.595,-0.335,-161.37824,0.71547,482,79,,0.519,-0.338
116,House,21502,61,7,AZ,100,,,"GALLEGO, Ruben",G000574,1979,,-0.451,-0.022,-14.69768,0.96978,479,8,,-0.425,-0.03
116,House,21705,61,5,AZ,200,,,"BIGGS, Andrew S.",B001302,1958,,0.88,-0.475,-72.47545,0.85738,471,24,,0.919,-0.395
116,House,21739,61,1,AZ,100,,,"O'HALLERAN, Thomas C.",O000171,1946,,-0.18,0.151,-30.61901,0.93833,481,12,,-0.331,0.467
116,House,21757,61,8,AZ,200,,,"LESKO, Debbie",L000589,1958,,0.603,-0.042,-75.42631,0.85542,483,36,,0.587,0.014
116,House,21968,61,9,AZ,100,,,"STANTON, Greg",S001211,1970,,-0.305,-0.158,-10.82868,0.97783,483,3,,-0.305,-0.158
116,House,21106,42,1,AR,200,,,"CRAWFORD, Rick",C001087,1966,,0.401,0.495,-57.64892,0.87925,448,27,,0.476,0.625
116,House,21108,42,3,AR,200,,,"WOMACK, Steve",W000809,1957,,0.348,0.584,-40.7116,0.91917,483,19,,0.343,0.703
